earliest_filing_year,ctry_code,cpc_green,count
1998,PR,Other,0.50000000000000000004
1999,PR,Other,0.99999999999999999999
2000,PR,Other,0.25000000000000000000
2001,PR,Other,0.66666666666666666665
2002,PR,Other,1.50000000000000000002
2003,PR,Other,5.78333333333333333339
2004,PR,Other,3.33333333333333333336
2005,PR,Other,4.25000000000000000008
2006,PR,Other,1.16666666666666666673
2007,PR,Other,0.72222222222222222222
2008,PR,Other,6.50000000000000000000
2009,PR,Other,3.00000000000000000000
2010,PR,Other,1.33333333333333333335
2011,PR,Other,9.89294871794871794875
2012,PR,Other,2.66666666666666666682
2013,PR,Other,10.08253413253413253428
2014,PR,Other,8.40361111111111111116
2015,PR,Other,24.47099567099567099609
2016,PR,Other,16.86060606060606060631
2017,PR,Other,8.33333333333333333342
2018,PR,Other,2.99999999999999999994
2014,PS,Other,0.99999999999999999999
2015,PS,Other,0.75000000000000000000
2017,PS,Other,1.00000000000000000000
2018,PS,Other,1.25000000000000000000
2019,PS,Other,0.33333333333333333335
1889,PT,Other,0.33333333333333333333
1902,PT,Other,1.00000000000000000000
1903,PT,Other,1.00000000000000000000
1904,PT,Other,1.00000000000000000000
1905,PT,Other,6.00000000000000000000
1906,PT,Other,2.00000000000000000000
1907,PT,Other,4.50000000000000000000
1908,PT,Other,7.00000000000000000000
1909,PT,Other,7.00000000000000000000
1910,PT,Other,5.00000000000000000000
1911,PT,Other,1.00000000000000000000
1912,PT,Other,3.00000000000000000000
1913,PT,Other,2.00000000000000000000
1914,PT,Other,2.00000000000000000000
1916,PT,Other,3.50000000000000000001
1917,PT,Other,6.00000000000000000000
1918,PT,Other,4.00000000000000000000
1919,PT,Other,8.00000000000000000000
1920,PT,Other,2.00000000000000000000
1921,PT,Other,1.00000000000000000000
1922,PT,Other,1.00000000000000000000
1923,PT,Other,1.00000000000000000000
1925,PT,Other,4.00000000000000000000
1926,PT,Other,3.00000000000000000000
1928,PT,Other,1.00000000000000000000
1930,PT,Other,1.00000000000000000000
